Document_Party_Role_ID,Document_ID,Role_Code,Party_ID,Party_Name,Department_Name,Person_Name,Position_Name,Contact,Snapshot_Basis
DOC-20210228-0001:ISSUER,DOC-20210228-0001,ISSUER,BUS-000,株式会社くらし日用品,営業管理部,山田 花子,売掛金担当,,document-time-fictional-demo
DOC-20210228-0001:RECIPIENT,DOC-20210228-0001,RECIPIENT,C-1,五越株式会社,経理部,佐藤 健一,買掛金担当,,document-time-fictional-demo
DOC-20210415-0001:ISSUER,DOC-20210415-0001,ISSUER,BANK-MIZUHO,みずほ銀行,みずほ本店,入出金通知担当,担当,,document-time-fictional-demo
DOC-20210415-0001:RECIPIENT,DOC-20210415-0001,RECIPIENT,BUS-000,株式会社くらし日用品,経理部,鈴木 太郎,出納担当,,document-time-fictional-demo
DOC-20210228-0002:ISSUER,DOC-20210228-0002,ISSUER,BUS-000,株式会社くらし日用品,営業管理部,山田 花子,売掛金担当,,document-time-fictional-demo
DOC-20210228-0002:RECIPIENT,DOC-20210228-0002,RECIPIENT,C-1,五越株式会社,経理部,佐藤 健一,買掛金担当,,document-time-fictional-demo
DOC-20210415-0002:ISSUER,DOC-20210415-0002,ISSUER,BANK-MIZUHO,みずほ銀行,みずほ本店,入出金通知担当,担当,,document-time-fictional-demo
DOC-20210415-0002:RECIPIENT,DOC-20210415-0002,RECIPIENT,BUS-000,株式会社くらし日用品,経理部,鈴木 太郎,出納担当,,document-time-fictional-demo
DOC-20210328-0001:ISSUER,DOC-20210328-0001,ISSUER,BUS-000,株式会社くらし日用品,営業管理部,山田 花子,売掛金担当,,document-time-fictional-demo
DOC-20210328-0001:RECIPIENT,DOC-20210328-0001,RECIPIENT,C-1,五越株式会社,経理部,佐藤 健一,買掛金担当,,document-time-fictional-demo
DOC-20210515-0003:ISSUER,DOC-20210515-0003,ISSUER,BANK-MIZUHO,みずほ銀行,みずほ本店,入出金通知担当,担当,,document-time-fictional-demo
DOC-20210515-0003:RECIPIENT,DOC-20210515-0003,RECIPIENT,BUS-000,株式会社くらし日用品,経理部,鈴木 太郎,出納担当,,document-time-fictional-demo
DOC-20210328-0002:ISSUER,DOC-20210328-0002,ISSUER,BUS-000,株式会社くらし日用品,営業管理部,山田 花子,売掛金担当,,document-time-fictional-demo
DOC-20210328-0002:RECIPIENT,DOC-20210328-0002,RECIPIENT,C-1,五越株式会社,経理部,佐藤 健一,買掛金担当,,document-time-fictional-demo
DOC-20210515-0004:ISSUER,DOC-20210515-0004,ISSUER,BANK-MIZUHO,みずほ銀行,みずほ本店,入出金通知担当,担当,,document-time-fictional-demo
