JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03
1411,,,,,,18,2021-10-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1411,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,26870.0,2442.0,S10,Standard 10%,10A100020,Cash and deposits,,,,26870.0,0.0,O,Exempt,,,,,,
1411,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
1411,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
1412,,,,,,66,2021-10-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1412,1.0,,,,,,,,,,Lease Payments,10E200730,Rent expenses on land and buildings,,,,209850.0,19077.0,S10,Standard 10%,10A100020,Cash and deposits,,,,209850.0,0.0,O,Exempt,,,,,,
1412,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
1412,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
1412,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
1413,,,,,,116,2021-10-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1413,1.0,,,,,,,,,,Lease Payments,10E200730,Rent expenses on land and buildings,,,,84000.0,7636.0,S10,Standard 10%,10A100020,Cash and deposits,,,,84000.0,0.0,O,Exempt,,,,,,
1413,1.0,,,,1.0,,,,,,,,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,
1413,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
1413,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
1414,,,,,,141,2021-10-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1414,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,7800.0,709.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7800.0,0.0,O,Exempt,,,,,,
1414,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
1414,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
