entry_key,source_row,occurrence,sequence,level,type,name,semantic_path,concept_namespace,binding_path,unit,value,month,voucher
"[""20210901"",""900308""]",531,531-C,1,3,A,Date Posted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,,2021-09-01,2021-09,900308
"[""20210901"",""900308""]",531,531-C,2,3,A,Entry ID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,900308,2021-09,900308
"[""20210901"",""900308""]",531,531-C,3,3,C,Entry Detail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,,531-C,2021-09,900308
"[""20210901"",""900308""]",531,531-C,4,4,A,Debit/Credit Indicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DebitCreditIndicator,,C,2021-09,900308
"[""20210901"",""900308""]",531,531-C,5,5,A,Account Number,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_AccountNumber,,1120,2021-09,900308
"[""20210901"",""900308""]",531,531-C,6,5,A,Account Description,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_AccountDescription,,Demo Harbor Ordinary Deposit,2021-09,900308
"[""20210901"",""900308""]",531,531-C,7,6,A,Subaccount ID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,,D05,2021-09,900308
"[""20210901"",""900308""]",531,531-C,8,6,A,Subaccount Description,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,,Demo Digital Services,2021-09,900308
"[""20210901"",""900308""]",531,531-C,9,6,A,Subaccount ID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,,B003,2021-09,900308
"[""20210901"",""900308""]",531,531-C,10,6,A,Subaccount Description,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,,Harbor Demo Bank,2021-09,900308
"[""20210901"",""900308""]",531,531-C,11,5,A,Tax Category,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailTax.cor_TaxCategory,,00,2021-09,900308
"[""20210901"",""900308""]",531,531-C,12,5,A,Amount of Taxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailTax.cor_AmountofTaxes,JPY,0,2021-09,900308
"[""20210901"",""900308""]",531,531-C,13,4,A,Monetary Amount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_MonetaryAmount,JPY,42530,2021-09,900308
"[""20210901"",""900308""]",531,531-C,14,4,A,Detail Description,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,http://www.xbrl.org/int/gl/2026-12-31/cor,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[C4].cor_DetailDescription,,Synthetic demo operating expense 900308,2021-09,900308
