Document_Party_Role_ID,Document_ID,Role_Code,Party_ID,Party_Name,Department_Name,Person_Name,Position_Name,Contact,Snapshot_Basis
DPR-202102-REF-BF-AR-001-1-AR,DOC-INV-202102-REF-BF-AR-001-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202102-REF-BF-AP-001-2-AP,DOC-INV-202102-REF-BF-AP-001-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202103-REF-BF-AR-SET-001-2-AR,DOC-SET-202103-REF-BF-AR-SET-001-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202103-REF-BF-AP-SET-001-1-AP,DOC-SET-202103-REF-BF-AP-SET-001-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202103-REF-BF-AR-002-1-AR,DOC-INV-202103-REF-BF-AR-002-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202103-REF-BF-AP-002-2-AP,DOC-INV-202103-REF-BF-AP-002-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900050-2-AR,DOC-INV-202104-900050-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900001-2-AR,DOC-INV-202104-900001-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900012-2-AR,DOC-INV-202104-900012-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900017-2-AP,DOC-SET-202104-900017-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900006-1-AP,DOC-INV-202104-900006-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900010-2-AR,DOC-INV-202104-900010-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900027-2-AP,DOC-SET-202104-900027-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900056-1-AP,DOC-INV-202104-900056-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900045-1-AP,DOC-INV-202104-900045-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900020-2-AR,DOC-INV-202104-900020-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900028-2-AR,DOC-INV-202104-900028-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900004-1-AR,DOC-SET-202104-900004-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900035-1-AP,DOC-INV-202104-900035-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900003-1-AP,DOC-SET-202104-900003-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900060-2-AR,DOC-INV-202104-900060-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900026-1-AP,DOC-INV-202104-900026-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900044-1-AR,DOC-SET-202104-900044-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900031-2-AR,DOC-INV-202104-900031-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900033-1-AR,DOC-SET-202104-900033-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900049-1-AP,DOC-SET-202104-900049-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900014-1-AR,DOC-SET-202104-900014-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900034-2-AR,DOC-INV-202104-900034-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900046-1-AR,DOC-SET-202104-900046-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900046-3-AR,DOC-SET-202104-900046-3-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900046-4-AR,DOC-SET-202104-900046-4-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900007-2-AP,DOC-SET-202104-900007-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900051-2-AR,DOC-INV-202104-900051-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900023-1-AR,DOC-SET-202104-900023-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900032-2-AR,DOC-INV-202104-900032-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900036-1-AP,DOC-INV-202104-900036-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900055-1-AP,DOC-SET-202104-900055-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900015-1-AP,DOC-SET-202104-900015-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900016-1-AP,DOC-INV-202104-900016-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
