Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
2021-12-01,* 月初残高,10A100020,現金及び預金,,,,,0,0,,,,,,,318152392,2021-12
2021-12-01,* 月初残高,10E201230,旅費及び交通費,,,,,0,0,,,,,,,8166970,2021-12
2021-12-01,* 月初残高,10E200180,通信費,,,,,0,0,,,,,,,8778402,2021-12
2021-12-01,* 月初残高,10E201120,車両費,,,,,0,0,,,,,,,4966918,2021-12
2021-12-01,* 月初残高,10E201270,雑費,,,,,0,0,,,,,,,3838489,2021-12
2021-12-01,* 月初残高,10E201110,事務用消耗品費,,,,,0,0,,,,,,,1010870,2021-12
2021-12-01,* 月初残高,10E200150,交際費,,,,,0,0,,,,,,,2515574,2021-12
2021-12-01,* 月初残高,10E200600,支払報酬,,,,,0,0,,,,,,,1117680,2021-12
2021-12-01,* 月初残高,10B100630,未払金,,,,,0,0,,,,,,,39750581,2021-12
2021-12-01,* 月初残高,10E200140,福利厚生費,,,,,0,0,,,,,,,3452674,2021-12
2021-12-01,* 月初残高,10A100090,売掛金,,,,,0,0,,,,,,,50598014,2021-12
2021-12-01,* 月初残高,10E200690,支払手数料,,,,,0,0,,,,,,,96749,2021-12
2021-12-01,* 月初残高,10E200210,租税公課,,,,,0,0,,,,,,,187000,2021-12
2021-12-01,* 月初残高,10E200720,地代家賃,,,,,0,0,,,,,,,27562000,2021-12
2021-12-01,* 月初残高,10E201130,会議費,,,,,0,0,,,,,,,230439,2021-12
2021-12-01,* 月初残高,10B100690,預り金,,,,,0,0,,,,,,,2240908,2021-12
2021-12-01,* 月初残高,10A100060,受取手形,,,,,0,0,,,,,,,79280749,2021-12
2021-12-01,* 月初残高,10B100040,買掛金,,,,,0,0,,,,,,,262454641,2021-12
2021-12-01,* 月初残高,10B100030,支払手形,,,,,0,0,,,,,,,5830586,2021-12
2021-12-01,* 月初残高,10E201140,諸会費,,,,,0,0,,,,,,,928000,2021-12
2021-12-01,* 月初残高,10E200520,雑給,,,,,0,0,,,,,,,3366497,2021-12
2021-12-01,* 月初残高,10E200050,広告宣伝費,,,,,0,0,,,,,,,1412700,2021-12
