Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Month
,,,Opening,2021-05-01,* 月初残高,10A100020,普通預金,,,,,0,0,,,,,,,105422442,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100040,貸倒引当金,,,,,0,0,,,,,,,1758018,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100060,受取手形,,,,,0,0,,,,,,,74533248,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100090,売掛金,,,,,0,0,,,,,,,60169680,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100200,電子記録債権,,,,,0,0,,,,,,,0,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100230,有価証券,,,,,0,0,,,,,,,1271350,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100280,商品,,,,,0,0,,,,,,,63013226,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100610,短期貸付金,,,,,0,0,,,,,,,440000,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100800,差入保証金,,,,,0,0,,,,,,,1200000,2021-05
,,,Opening,2021-05-01,* 月初残高,10A100850,仮払消費税等,,,,,0,0,,,,,,,2762581,2021-05
,,,Opening,2021-05-01,* 月初残高,10A210130,構築物,,,,,0,0,,,,,,,3280000,2021-05
,,,Opening,2021-05-01,* 月初残高,10A210410,工具、器具及び備品,,,,,0,0,,,,,,,4779810,2021-05
,,,Opening,2021-05-01,* 月初残高,10A220190,電話加入権,,,,,0,0,,,,,,,512000,2021-05
,,,Opening,2021-05-01,* 月初残高,10A230570,保険積立金,,,,,0,0,,,,,,,1653000,2021-05
,,,Opening,2021-05-01,* 月初残高,10A230650,敷金,,,,,0,0,,,,,,,3140000,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100030,支払手形,,,,,0,0,,,,,,,54174743,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100040,買掛金,,,,,0,0,,,,,,,47411485,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100320,賞与引当金,,,,,0,0,,,,,,,2694667,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100630,未払金,,,,,0,0,,,,,,,7369946,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100640,未払法人税等,,,,,0,0,,,,,,,2864378,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100660,未払消費税等,,,,,0,0,,,,,,,4947100,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100670,未払事業税等,,,,,0,0,,,,,,,1862000,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100690,預り金,,,,,0,0,,,,,,,2896472,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100790,短期借入金,,,,,0,0,,,,,,,7188500,2021-05
,,,Opening,2021-05-01,* 月初残高,10B100890,仮受消費税等,,,,,0,0,,,,,,,6540636,2021-05
,,,Opening,2021-05-01,* 月初残高,10B200080,長期借入金,,,,,0,0,,,,,,,37343150,2021-05
,,,Opening,2021-05-01,* 月初残高,10B200120,退職給付引当金,,,,,0,0,,,,,,,18560000,2021-05
,,,Opening,2021-05-01,* 月初残高,10B200130,役員退職慰労引当金,,,,,0,0,,,,,,,22000000,2021-05
,,,Opening,2021-05-01,* 月初残高,10C110010,資本金,,,,,0,0,,,,,,,10000000,2021-05
,,,Opening,2021-05-01,* 月初残高,10C120020,資本準備金,,,,,0,0,,,,,,,0,2021-05
,,,Opening,2021-05-01,* 月初残高,10C130020,利益準備金,,,,,0,0,,,,,,,7200000,2021-05
,,,Opening,2021-05-01,* 月初残高,10C130360,別途積立金,,,,,0,0,,,,,,,4830000,2021-05
,,,Opening,2021-05-01,* 月初残高,10C130370,繰越利益剰余金,,,,,0,0,,,,,,,82709171,2021-05
,,,Opening,2021-05-01,* 月初残高,10D100100,総売上高,,,,,0,0,,,,,,,60337616,2021-05
,,,Opening,2021-05-01,* 月初残高,10D100110,売上値引及び戻り高,,,,,0,0,,,,,,,167936,2021-05
,,,Opening,2021-05-01,* 月初残高,10E100100,商品期首たな卸高,,,,,0,0,,,,,,,0,2021-05
,,,Opening,2021-05-01,* 月初残高,10E100120,仕入値引及び戻し高,,,,,0,0,,,,,,,202379,2021-05
,,,Opening,2021-05-01,* 月初残高,10E100130,当期商品仕入高,,,,,0,0,,,,,,,35491682,2021-05
