Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Source_Row,Entry_Key,Occurrence,Semantic_Path,Month
,,,Opening,2021-06-01,* Opening balance,1000,Demo Cash,,,,,0,0,,,,,,,600000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1010,Demo Petty Cash,,,,,0,0,,,,,,,120000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1100,Demo Central Ordinary Deposit,,,,,0,0,,,,,,,12976780,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1110,Demo North Current Deposit,,,,,0,0,,,,,,,17165820,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1120,Demo Harbor Ordinary Deposit,,,,,0,0,,,,,,,15383960,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,,,0,0,,,,,,,6917520,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1210,Demo Notes Receivable,,,,,0,0,,,,,,,800000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1300,Demo Inventory,,,,,0,0,,,,,,,1200000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1400,Demo Prepaid Expenses,,,,,0,0,,,,,,,1251690,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1410,Demo Advances Paid,,,,,0,0,,,,,,,250000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1420,Demo Temporary Payments,,,,,0,0,,,,,,,150000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1430,Demo Input Tax Receivable,,,,,0,0,,,,,,,400000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1500,Demo Equipment,,,,,0,0,,,,,,,2000000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1510,Demo Vehicles,,,,,0,0,,,,,,,1200000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1520,Demo Software,,,,,0,0,,,,,,,700000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,1590,Demo Accumulated Depreciation,,,,,0,0,,,,,,,900000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,,,0,0,,,,,,,2450100,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2010,Demo Notes Payable,,,,,0,0,,,,,,,600000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2100,Demo Accrued Payables,,,,,0,0,,,,,,,9465240,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2110,Demo Payroll Withholding,,,,,0,0,,,,,,,5128300,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2120,Demo Output Tax Payable,,,,,0,0,,,,,,,450000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2130,Demo Temporary Receipts,,,,,0,0,,,,,,,120000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2200,Demo Short-term Loans,,,,,0,0,,,,,,,5952230,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2300,Demo Long-term Loans,,,,,0,0,,,,,,,2500000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,2400,Demo Unearned Revenue,,,,,0,0,,,,,,,350000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,3000,Demo Capital,,,,,0,0,,,,,,,5000000,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,3100,Demo Retained Earnings,,,,,0,0,,,,,,,26159010,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,4000,Demo Product Sales,,,,,0,0,,,,,,,4916060,,,,,2021-06
,,,Opening,2021-06-01,* Opening balance,4010,Demo Service Revenue,,,,,0,0,,,,,,,5056150,,,,,2021-06
